2014,7,28,16,8,39,73,cloudy,Mon
2014,7,29,16,9,32,67,sunny,Tue
2014,7,30,18,11,23,70,sunny,Wed
2014,7,31,18,6,37,64,snow,Thu
2014,8,1,10,4,33,70,snow,Fri
2014,8,2,11,2,14,52,cloudy,Sat
2014,8,3,13,2,17,38,sunny,Sun
2014,8,4,14,2,16,60,fog,Mon
2014,8,5,15,5,19,60,sprinkles,Tue
2014,8,6,15,10,15,65,sprinkles,Wed
2014,8,7,13,8,10,91,rain,Thu
2014,8,8,15,7,15,49,rain,Fri
2014,8,9,13,7,35,65,sunny,Sat
2014,8,10,12,4,20,79,cloudy,Sun
2014,8,11,11,4,16,56,fog,Mon
2014,8,12,11,4,9,73,cloudy,Tue
2014,8,13,13,7,12,69,cloudy,Wed
2014,8,14,14,4,6,63,fog,Thu
2014,8,15,16,3,15,52,cool,Fri
2014,8,16,13,3,15,70,cloudy,Sat
2014,8,17,14,9,21,64,cloudy,Sun
2014,8,18,12,9,18,83,rain,Mon
2014,8,19,12,9,17,68,sunny,Tue
2014,8,20,12,6,11,60,cloudy,Wed
2014,8,21,16,6,15,57,snow,Thu
2014,8,22,19,6,18,41,sunny,Fri
2014,8,23,19,6,24,55,sunny,Sat
2014,8,24,15,9,13,54,snow,Sun
2014,8,25,14,8,15,81,rain,Mon
2014,8,26,17,8,17,60,cloudy,Tue
2014,8,27,19,5,10,51,cloudy,Wed
2014,8,28,20,3,8,47,cloudy,Thu
2014,8,29,14,4,7,73,cloudy,Fri
2014,8,30,20,10,17,54,suuny,Sat
2014,8,31,21,17,30,44,sunny,Sun
2014,9,1,14,8,20,85,rainy,Mon
2014,9,2,13,6,28,64,cloudy,Tue
2014,9,4,14,2,12,61,sunny,Thu
2014,9,5,15,4,12,60,sunny,Fri
2014,9,6,19,7,11,51,cloudly,Sat
2014,9,7,19,5,17,42,sunny,Sun
2014,9,8,20,9,32,46,cloudy,Mon
2014,9,9,20,10,42,46,sunny,Tue
2014,9,10,18,8,22,43,sunny,Wed
2014,9,21,16,6,10,52,sunny,Sun
2014,9,22,22,6,20,67,sunny,Mon
2014,9,23,25,8,20,27,sunny,Tue
2014,9,24,22,13,33,59,rainy,Wed
2014,9,25,14,8,18,87,clouds,Thu
2014,9,26,17,8,11,59,cloudy,Fri
2014,9,27,22,8,29,47,sunny,Sat
2014,9,29,24,12,20,37,sunny,Mon
2014,9,30,24,9,30,20,cloudy,Tue
2014,10,1,15,6,16,53,rainy,Wed
2014,10,2,17,7,20,59,rainy,Thu
2014,10,3,18,9,10,54,sunny,Fri
2014,10,4,26,8,30,30,rainy,Sat
2014,10,5,18,8,15,49,rainy,Sun
2014,10,6,26,14,20,44,sunny,Mon
2014,10,7,16,8,25,49,cloudy,Tue
2014,10,8,19,7,15,69,rainy,Wed
2014,10,9,23,8,13,38,sunny,Thu
2014,10,10,23,14,30,42,sunny,Fri
2014,10,14,15,8,30,73,thunder,Tue
2014,10,15,15,5,13,73,rainy,Wed
2014,10,16,15,8,16,43,Cloudy,Thu
2014,10,17,17,7,10,41,sunny,Fri
2014,10,18,24,5,32,41,sunny,Sat
